namespace,class,func,docstring,taint_summary,memory_summary
"std::list<T,Allocator>::rbegin",list,reverse_iterator rbegin();,"返回指向逆向的 list 的首元素的逆向迭代器。它对应非逆向 list 的末元素。如果 list 为空，那么返回的迭代器等于 rend()。
参数
（无）

返回值
指向首元素的逆向迭代器。","{
    transitive(<-1>, <0>)
}","{
    <-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::rbegin",list,const_reverse_iterator rbegin() const;,"返回指向逆向的 list 的首元素的逆向迭代器。它对应非逆向 list 的末元素。如果 list 为空，那么返回的迭代器等于 rend()。
参数
（无）

返回值
指向首元素的逆向迭代器。","{
    transitive(<-1>, <0>)
}","{
    <-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::crbegin",list,const_reverse_iterator crbegin() const noexcept;,"返回指向逆向的 list 的首元素的逆向迭代器。它对应非逆向 list 的末元素。如果 list 为空，那么返回的迭代器等于 rend()。
参数
（无）

返回值
指向首元素的逆向迭代器。","{
    transitive(<-1>, <0>)
}","{
    <-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::rend",list,reverse_iterator rend();,"返回指向逆向的 list 末元素后一元素的逆向迭代器。它对应非逆向 list 首元素的前一元素。此元素表现为占位符，试图访问它导致未定义行为。
参数
（无）

返回值
指向末元素后一元素的逆向迭代器。","{
    transitive(<-1>, <0>)
}","{
    <-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::rend",list,const_reverse_iterator rend() const;,"返回指向逆向的 list 末元素后一元素的逆向迭代器。它对应非逆向 list 首元素的前一元素。此元素表现为占位符，试图访问它导致未定义行为。
参数
（无）

返回值
指向末元素后一元素的逆向迭代器。","{
    transitive(<-1>, <0>)
}","{
    <-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::crend",list,const_reverse_iterator crend() const noexcept;,"返回指向逆向的 list 末元素后一元素的逆向迭代器。它对应非逆向 list 首元素的前一元素。此元素表现为占位符，试图访问它导致未定义行为。
参数
（无）

返回值
指向末元素后一元素的逆向迭代器。","{
    transitive(<-1>, <0>)
}","{
    <-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::empty",list,bool empty() const;,"检查容器是否无元素，即是否 begin() == end()。

参数
（无）

返回值
若容器为空则为 true，否则为 false。","{
    transitive(<-1>, <0>)
}","{
    <-1> = 0 || 1
}"
"std::list<T,Allocator>::size",list,size_type size() const;,"返回容器中的元素数，即 std::distance(begin(), end())。

参数
（无）

返回值
容器中的元素数量。","{
    transitive(<-1>, <0>)
}","{
    <-1> = <0>.size
}"
"std::list<T,Allocator>::size",list,size_type size() const noexcept;,"返回容器中的元素数，即 std::distance(begin(), end())。

参数
（无）

返回值
容器中的元素数量。","{
    transitive(<-1>, <0>)
}","{
    <-1> = <0>.size
}"
"std::list<T,Allocator>::max_size",list,size_type max_size() const;,"返回容器根据系统或库实现限制而可保有的元素最大数量，即对于最大容器的 std::distance(begin(), end())。

参数
（无）

返回值
元素数量的最大值。",{},"{
    <-1> = [0, MAX]
}"
"std::list<T,Allocator>::clear",list,void clear();,"从容器擦除所有元素。此调用后 size() 返回零。

使任何指代所含元素的引用、指针和迭代器失效。 任何尾后迭代器保持有效。

复杂度","{
    sanitize(<0>)
}","{
    <0>.size = 0
    <0>.field = NULL
}"
"std::list<T,Allocator>::insert",list,"iterator insert( const_iterator pos, const T& value );","插入元素到容器中的指定位置。

在 pos 前插入 value 的副本。

参数
pos	-	将内容插入到它前面的迭代器。pos 可以是 end() 迭代器
value	-	要插入的元素值
返回值
1,2) 指向被插入 value 的迭代器。","{
  transitive(<0>, <0> || <2>)
  transitive(<-1>, <0>)
}","{
    overflow(<1>, [<0>.begin, <0>.end])
    <0>.field = <2>
    <0>.size = <0>.size + 1
    <-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::insert",list,"iterator insert( const_iterator pos, T&& value );","插入元素到容器中的指定位置。

在 pos 前插入 value，可能使用移动语义。

参数
pos	-	将内容插入到它前面的迭代器。pos 可以是 end() 迭代器
value	-	要插入的元素值
返回值
1,2) 指向被插入 value 的迭代器。","{
  transitive(<0>, <0> || <2>)
  transitive(<-1>, <0>)
}","{
    overflow(<1>, [<0>.begin, <0>.end])
    <0>.field = <2>
    <0>.size = <0>.size + 1
    <-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::insert",list,"iterator insert( const_iterator pos,
                 size_type count, const T& value );","插入元素到容器中的指定位置。

在 pos 前插入 value 的 count 个副本。

参数
pos	-	将内容插入到它前面的迭代器。pos 可以是 end() 迭代器
value	-	要插入的元素值
count	-	要插入的元素数量
返回值
指向首个被插入元素的迭代器，或者在 count == 0 时返回 pos。","{
  setSink(<2>)
  transitive(<0>, <0> || <3>)
  transitive(<-1>, <0>)
}","{
    overflow(<1>, [<0>.begin, <0>.end])
    <0>.field = <3>
    <0>.size = <0>.size + <2>
    <-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::insert",list,"template< class InputIt >
iterator insert( const_iterator pos, InputIt first, InputIt last );","插入元素到容器中的指定位置。

在 pos 前插入来自范围 [first, last) 的元素。
如果 InputIt 是整数类型，那么此重载与重载 (3) 的效果相同。

(C++11 前)
此重载只有在InputIt 足以为输入迭代器时才会参与重载决议，以避免与重载 (3) 有歧义。


参数
first, last	-	要插入的（不能是指向调用 insert 所用的容器中的迭代器）元素范围的迭代器对
返回值
指向首个被插入元素的迭代器，或者在 first == last 时返回 pos","{
  transitive(<0>, <0> || <2> || <3>)
  transitive(<-1>, <0>)
}","{
    overflow(<1>, [<0>.begin, <0>.end])
    <0>.field = <2>.field
    <0>.size = [<0>.size, MAX]
    <-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::insert",list,"iterator insert( const_iterator pos, std::initializer_list<T> ilist );","插入元素到容器中的指定位置。

在 pos 前插入来自初始化器列表 ilist 的元素。

参数
参数
pos	-	将内容插入到它前面的迭代器。pos 可以是 end() 迭代器
value	-	要插入的元素值
count	-	要插入的元素数量
first, last	-	要插入的（不能是指向调用 insert 所用的容器中的迭代器）元素范围的迭代器对
ilist	-	要插入的值来源的 std::initializer_list
返回值
指向首个被插入元素的迭代器，或者在 ilist 为空时返回 pos。","{
  transitive(<0>, <0> || <2>)
  transitive(<-1>, <0>)
}","{
    overflow(<1>, [<0>.begin, <0>.end])
    <0>.field = <2>.field
    <0>.size = <0>.size + <2>.size
<-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::emplace",list,"template< class... Args >
iterator emplace( const_iterator pos, Args&&... args );","在紧接 pos 之前的位置向容器插入新元素。

通过 std::allocator_traits::construct 构造元素，用布置 new 在容器提供的位置原位构造元素。

将实参 args... 作为 std::forward<Args>(args)... 转发给构造函数。 args... 可以直接或间接地指代容器中的值。

没有引用和迭代器会失效。

参数
pos	-	将构造新元素到其前的迭代器
args	-	转发给元素构造函数的参数
类型要求
-T 必须满足可就位构造 (EmplaceConstructible) 。
返回值
指向被安置的元素的迭代器。","{
  transitive(<0>, <0> || <2>)
  transitive(<-1>, <0>)
}","{
    overflow(<1>, [<0>.begin, <0>.end])
    <0>.field = <2>
    <0>.size = <0>.size + 1
    <-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::erase",list,iterator erase( iterator pos );,"从容器擦除指定的元素。

 移除位于 pos 的元素。

参数
pos	-	指向要移除的元素的迭代器
first, last	-	要移除的元素范围的迭代器对
返回值
最后移除元素之后的迭代器。
如果 pos 指代末元素，那么返回 end() 迭代器。","{
  transitive(<-1>, <0>)
}","{
    overflow(<1>, [<0>.begin, <0>.end - 1])
    <0>.size = <0>.size - 1
    <-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::erase",list,iterator erase( const_iterator pos );,"从容器擦除指定的元素。

 移除位于 pos 的元素。

参数
pos	-	指向要移除的元素的迭代器
first, last	-	要移除的元素范围的迭代器对
返回值
最后移除元素之后的迭代器。
如果 pos 指代末元素，那么返回 end() 迭代器。","{
  transitive(<-1>, <0>)
}","{
    overflow(<1>, [<0>.begin, <0>.end - 1])
    <0>.size = <0>.size - 1
    <-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::erase",list,"iterator erase( iterator first, iterator last );","从容器擦除指定的元素。

移除范围 [first, last) 中的元素。

参数
pos	-	指向要移除的元素的迭代器
first, last	-	要移除的元素范围的迭代器对
返回值
如果在移除前 last == end()，那么返回更新的 end() 迭代器。
 如果范围 [first, last) 为空，那么返回 last。","{
  transitive(<-1>, <0>)
}","{
  overflow(<1>, [<0>.begin, <0>.end])
  overflow(<2>, [<0>.begin, <0>.end])
  <0>.size = [0, <0>.size]
  <-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::erase",list,"iterator erase( const_iterator first, const_iterator last );","从容器擦除指定的元素。

移除范围 [first, last) 中的元素。

参数
pos	-	指向要移除的元素的迭代器
first, last	-	要移除的元素范围的迭代器对
返回值
如果在移除前 last == end()，那么返回更新的 end() 迭代器。
 如果范围 [first, last) 为空，那么返回 last。","{
  transitive(<-1>, <0>)
}","{
  overflow(<1>, [<0>.begin, <0>.end])
  overflow(<2>, [<0>.begin, <0>.end])
  <0>.size = [0, <0>.size]
  <-1> = [<0>.begin, <0>.end]
}"
"std::list<T,Allocator>::push_back",list,void push_back( const T& value );,"追加给定元素 value 到容器尾。

初始化新元素为 value 的副本。

没有引用和迭代器会失效。

参数
value	-	要追加的元素值
类型要求
- 为使用重载 (1)， T 必须满足可复制插入 (CopyInsertable) 。
- 为使用重载 (2)， T 必须满足可移动插入 (MoveInsertable) 。
返回值
（无）","{
    transitive(<0>, <0> || <1>)
}","{
    <0>.field = <1>
    <0>.size = <0>.size + 1
}"
"std::list<T,Allocator>::push_back",list,void push_back( T&& value );,"追加给定元素 value 到容器尾。

2) 移动 value 进新元素。
没有引用和迭代器会失效。

参数
value	-	要追加的元素值
类型要求
- 为使用重载 (1)， T 必须满足可复制插入 (CopyInsertable) 。
- 为使用重载 (2)， T 必须满足可移动插入 (MoveInsertable) 。
返回值
（无）","{
    transitive(<0>, <0> || <1>)
}","{
    <0>.field = <1>
    <0>.size = <0>.size + 1
}"
"std::list<T,Allocator>::emplace_back",list,"template< class... Args >
void emplace_back( Args&&... args );","添加新元素到容器尾。元素通过 std::allocator_traits::construct 构造，通常用布置 new 于容器所提供的位置原位构造元素。实参 args... 以 std::forward<Args>(args)... 转发到构造函数。

没有引用和迭代器会失效。

参数
args	-	转发到元素构造函数的实参
类型要求
-T（容器的元素类型） 必须满足可就位构造 (EmplaceConstructible) 。
返回值
（无）
","{
    transitive(<0>, <0> || <1>)
}","{
    <0>.field = <1>
    <0>.size = <0>.size + 1
}"
"std::list<T,Allocator>::emplace_back",list,"template< class... Args >
reference emplace_back( Args&&... args );","添加新元素到容器尾。元素通过 std::allocator_traits::construct 构造，通常用布置 new 于容器所提供的位置原位构造元素。实参 args... 以 std::forward<Args>(args)... 转发到构造函数。

没有引用和迭代器会失效。

参数
args	-	转发到元素构造函数的实参
类型要求
-T（容器的元素类型） 必须满足可就位构造 (EmplaceConstructible) 。
返回值
到被插入元素的引用。

","{
    transitive(<0>, <0> || <1>)
    transitive(<-1>, <0>)
}","{
    <0>.field = <1>
    <0>.size = <0>.size + 1      <-1> = <0>.field
}"
"std::list<T,Allocator>::pop_back",list,void pop_back();,"移除容器的末元素。

在空容器上调用 pop_back 导致未定义行为。

指向被擦除元素的迭代器和引用会失效。

参数
（无）

返回值
（无）","{
}","{
    <0>.size = <0>.size - 1
}"
"std::list<T,Allocator>::push_front",list,void push_front( const T& value );,"前附给定元素 value 到容器起始。

没有引用和迭代器会失效。

参数
value	-	要前附的元素值
返回值
（无）","{
    transitive(<0>, <0> || <1>)
}","{
    <0>.field = <1>
    <0>.size = <0>.size + 1
}"
"std::list<T,Allocator>::push_front",list,void push_front( T&& value );,"前附给定元素 value 到容器起始。

没有引用和迭代器会失效。

参数
value	-	要前附的元素值
返回值
（无）","{
    transitive(<0>, <0> || <1>)
}","{
    <0>.field = <1>
    <0>.size = <0>.size + 1
}"
"std::list<T,Allocator>::pop_front",list,void pop_front();,"移除容器首元素。若容器中无元素，则行为未定义。

指向被擦除元素的迭代器和引用会失效。

参数
（无）

返回值
（无）

复杂度
常数。

异常
不抛出。","{
}","{
    <0>.size = <0>.size - 1
}"
"std::list<T,Allocator>::resize",list,void resize( size_type count );,"重设容器大小以容纳 count 个元素，在 count == size() 时不做任何事。

如果当前大小大于 count，那么减小容器到它的前 count 个元素。

如果当前大小小于 count，那么：
追加额外的默认插入的元素。

参数
count	-	容器的大小
value	-	用以初始化新元素的值","{
    setSink(<1>)
}","{
    <0>.size = <1>
}"
"std::list<T,Allocator>::resize",list,"void resize( size_type count, const value_type& value );","重设容器大小以容纳 count 个元素，在 count == size() 时不做任何事。

如果当前大小大于 count，那么减小容器到它的前 count 个元素。

如果当前大小小于 count，那么：
追加额外的 value 的副本。

参数
count	-	容器的大小
value	-	用以初始化新元素的值","{
    setSink(<1>)
    transitive(<0>, <0> || <2>)
}","{
    <0>.size = <1>
    <0>.field = <2>
}"
"std::list<T,Allocator>::swap",list,void swap( list& other );,"将内容与 other 的交换。不在单独的元素上调用任何移动、复制或交换操作。

所有迭代器和引用保持有效。在操作后，未指明保有此容器中 end() 值的迭代器指代此容器还是另一容器。
参数
other	-	要与之交换内容的容器","{
    swapTaint(<0>, <1>)
}","{
    swap(<0>, <1>)
}"
"std::list<T,Allocator>::swap",list,void swap( list& other ) noexcept,"将内容与 other 的交换。不在单独的元素上调用任何移动、复制或交换操作。

所有迭代器和引用保持有效。在操作后，未指明保有此容器中 end() 值的迭代器指代此容器还是另一容器。
参数
other	-	要与之交换内容的容器","{
  swapTaint(<0>, <1>)
}","{
    swap(<0>, <1>)
}"
"std::list<T,Allocator>::merge",list,void merge( list& other );,"如果 other 与 *this 指代同一对象，那么什么也不做。

否则，将 other 合并到 *this。两个链表都应有序。不复制元素，并且在操作后容器 other 会变为空。此操作是稳定的：对于两个链表中的等价元素，来自 *this 的元素始终在来自 other 的元素之前，并且不更改 *this 和 other 的等价元素顺序。

迭代器和引用不会失效。指向或指代从 other 移走的元素的指针、引用和迭代器将不再涉及 other，而是会指代 *this 中的相同元素。
 用 std::less<T>()(C++14 前)std::less<>()(C++14 起) 比较元素。
 参数
other	-	要交换的另一容器
comp	-	比较函数对象（即满足比较 (Compare) 概念的对象），在第一参数小于（即先 ﻿序于）第二参数时返回 ​true。
比较函数的签名应等价于如下：

bool cmp(const Type1 &a, const Type2 &b);
返回值
（无）","{
    transitive(<0>, <0> || <1>)
    sanitize(<1>)
}","{
    <0>.field = <1>.field
    <0>.size = <0>.size + <1>.size
    <1>.size = 0
    <1>.field = NULL
}"
"std::list<T,Allocator>::merge",list,void merge( list&& other );,"如果 other 与 *this 指代同一对象，那么什么也不做。

否则，将 other 合并到 *this。两个链表都应有序。不复制元素，并且在操作后容器 other 会变为空。此操作是稳定的：对于两个链表中的等价元素，来自 *this 的元素始终在来自 other 的元素之前，并且不更改 *this 和 other 的等价元素顺序。

迭代器和引用不会失效。指向或指代从 other 移走的元素的指针、引用和迭代器将不再涉及 other，而是会指代 *this 中的相同元素。
 用 std::less<T>()(C++14 前)std::less<>()(C++14 起) 比较元素。
 参数
other	-	要交换的另一容器
comp	-	比较函数对象（即满足比较 (Compare) 概念的对象），在第一参数小于（即先 ﻿序于）第二参数时返回 ​true。
比较函数的签名应等价于如下：

bool cmp(const Type1 &a, const Type2 &b);
返回值
（无）","{
    transitive(<0>, <0> || <1>)
    sanitize(<1>)
}","{
    <0>.field = <1>.field
    <0>.size = <0>.size + <1>.size
    <1>.size = 0
    <1>.field = NULL
}"
